,FileName,Description
0,178619.jpg,"An Asian woman with long, wavy, brunette hair, sculpted eyebrows, full lips and a roundish face with a strong jaw."
1,178619.jpg,A young Chinese-looking woman with long brown hair and small dark eyes. Her nose is small and her lips are somewhat thick. She has got a heavy lower lip
2,043353.jpg,"A man with short, brown hair and a receding hairline. He has stubble on his strong jaw, large ears and a slight grin."
3,043353.jpg,A young man with short brown hair and a few wrinkles on his forehead. His eyebrows are thick and his eyes are small and dark-coloured. His lips are very thin and a stubble beard is growing around them
4,094966.jpg,"A woman with a blond bob cut and dark roots. She has full lips, prominent cheeks and she is wearing makeup."
5,094966.jpg,A young woman with bob blonde hair and a fringe. Her roots are dark. Her eyes are small and there is some make-up around them. Her lips are painted pink and they are stretched into a smile
6,060553.jpg,A middle-aged man with short brown hair and dark-coloured eyes. He has got a straight nose and his lips are thin and heart-shaped. A stubble beard and hints of it can be seen on his face. The man's skin tone is very pale.
7,161574.jpg,"A man with short brown hair shaved at the sides of his head. His eyes are dark-coloured and small, his nose is somewhat wide and his lips are wide yet thin. Around his lips a stubble beard is growing."
8,051193.jpg,"An Asian man with longish, black hair and a fringe.  He has prominent cheekbones, a large nose and bushy eyebrows."
9,051193.jpg,A Korean-looking man with short dark-coloured hair and a fringe at the side of his head. His eyebrows are thick and his eyes are small and somewhat narrow. His nose is straight. The man is smiling.
10,075337.jpg,"An old man with receding, white hair, dark, bushy eyebrows, a large nose and a wide toothy smile. He has a long, droopy face."
11,075337.jpg,A happy looking elderly man with grey hair combed backwards revealing a large forehead and bushy black eyebrows.
12,082180.jpg,"An old man with a bald head and short, dark brown hair on the sides. He has sunken, brown eyes, a larhe nose, large ears, a wide smile and a wrinkly face with droopy features."
13,082180.jpg,"A bald old man with brown hair on the sides of his head. His eyes are brown and small. His lips are very thin, he is smiling with his lips parted and his upper teeth are visible. Wrinkles can be seen on his face."
14,122613.jpg,A young man with short curly brown hair. His eyes are blue. His lips are thin and they are curved into a smile. A beard is growing around his lips. He has got a well-defined jawline.
15,052246.jpg,"A pale young man with long, black hair and a beanie. He has a brown-chinstrap beard and is wearing makeup. He also has a wide nose and a lip piercing."
16,039055.jpg,An Asain man with short black hair and a receding hairline. He is wearing glasses and he has a round face and bushy eyebrows.
17,039055.jpg,"An east asian man wearing glasses and having short greying hair, a round face and a sad expression."
18,074840.jpg,"A pale woman with long, brunette hair, full lips, sculpted eyebrows and a long nose."
19,074840.jpg,A young woman with straight dark hair and big dark eyes. There is some black make-up around her eyes. Her lips are somewhat thick and her upper teeth are visible. She is wearing a pair of earrings
20,149737.jpg,"A man with a round face, short, receding black hair, a pinched nose, a stubble beard and a wide, toothy smile."
21,155358.jpg,A young woman with brown hair pulled backwards. She is looking upwards and her lips are pursed. It seems like she is about to cry.
22,157155.jpg,This man has a round face and a receding hairline. He is wearing glasses atop his wide nose and he has a beaming smile.
23,034454.jpg,"A woman having blonde wavy hair, green eyes and a straight nose. She has red lips and is wearing makeup."
24,056655.jpg,"A young woman with wavy, dark-brown hair. She has a cleft chin and an oval-shaped face. "
25,056655.jpg,A young woman with dark hair. Her eyes are dark-coloured and there is some black make-up around them. She looks quite serious. Her lips are thin and her face is oval-shaped.
26,100652.jpg,"A pale woman with long, slightly wavy, blond hair, blue eyes, thin eyebrows, a small nose and a slight smile."
27,100652.jpg,A young blonde girl with blue eyes. Her nose is small and her lips are thin. Her lips are painted red and her upper teeth are visible. She is smiling
28,101227.jpg,"A pale young woman with long, straight, dark brown hair.  She has a wide nose, a cleft chin and is smiling slightly."
29,193066.jpg,An old man with a shaved head and greying hair. He has thin eyebrows and wrinkles.
30,193066.jpg,An old man with short dark hair and small dark eyes. His nose is big and his lips are somewhat thick. He looks serious
31,197282.jpg,A woman with voluminous long brown hair parted in the middle of her head. Her skin tone is a little darker than olive. Her eyes are dark-coloured and there is dark make-up around them. Her lips are heart shaped and they are parted. Her upper teeth are visible. She is staring.
32,044864.jpg,"A tanned man with short, spiky, light-brown hair, a large nose, a toothy smile and some stubble."
33,044864.jpg,A young man with brown messy hair and yellow highlights. His eyebrows are thick and his eyes are almost closed. The man's lips are thin and they are parted. His upper teeth are visible.
34,080914.jpg,"A black woman with long, straight, black hair with bangs. She has dark eyes, a round face and full lips accentuated by her makeup."
35,081413.jpg,"A man with big eyes and a full lower lip. He has wrinkles, hooded eyes and slight facial hair on his upperlip. "
36,119451.jpg,"An older man with grey, receding hair. He is wearing glasses and has a large nose and a wide smile."
37,119451.jpg,An old man with grey. His eyes are small and dark-coloured and he is wearing a pair of big squarish glasses. He is smiling. His lips are very thin and his upper teeth are visible.
38,014849.jpg,"A pale woman with a reddish-brown bob cut, blue eyes, a wide nose, full cheeks and a slight smile. She is wearing light makeup."
39,033900.jpg,A young man with short dark-coloured hair and thick dark-coloured eyebrows. His eyes are small and they're green. His lips are thin and they are pressed together. The guy seems to be smirking. A stubble beard is growing on his face.
40,087706.jpg,A middle-aged woman with straight blonde hair and big dark eyes. There is dark make-up around her eyes. Her nose is somewhat big and her lips are thick and they're painted red. She is smiling
41,187553.jpg,"A tanned man with longish, wavy black hair, sideburns and a thin moustache. He has a square face and thick eyebrows."
42,187553.jpg,A young man with short dark hair and small dark eyes. His nose is small and his lips are pretty thin. A moustache has grown on his face and there is also facial hair on his chin
43,112508.jpg,"A man with receding, dark-brown hair, thick eyebrows, blue eyes and a wide, toothy smile. He has a wrinkly face and large ears."
44,169399.jpg,"A man with a strong jawline and a cleft chin. He has short, brown hair, large ears and a thin nose."
45,075307.jpg,"A woman with high cheekbones, hollow cheeks and a strong jaw. She has long, curly blond hair, a thin nose and dark, sculpted eyebrows."
46,110054.jpg,A young girl looking downwards. Her hair is brown and it is long and straight. Her eyebrows are thin. Her eyes cannot be seen. Her lips are wide and they are stretched into a smile. Her front teeth are visible.
47,114556.jpg,A middle-aged with blonde hair and blue eyes. His lips are pursed and he is smiling.
48,163961.jpg,A young man wearing a cap. He is also wearing a pair of black sunglasses. His lips are thin and they are slightly parted. His upper teeth are visible. He is smiling and he is holding a baseball ball in one hand.
49,187030.jpg,A young woman with dark-coloured curly hair and small eyes. Her lips are pouted and she seems to be admiring something or someone
50,113082.jpg,A man with short straight brown hair and brown eyes. He has a very narrow upturned nose and a small mouth. He also has stubble beard.
51,135194.jpg,"A woman with long, straight, black hair and bangs. She has a wide nose and a strong jaw with a pointed chin. She is wearing makeup and has a lazy eye."
52,135194.jpg,"A young woman with straight dark hair and a fringe. Her eyes are dark-coloured and there is black make-up around the, Her lips are thin and they are pressed together. She is smiling softly. The woman seems to have a pointy chin"
53,124094.jpg,A young woman with blonde hair pulled back and bright blue eyes with some make-up around them. Her nose is small and her lips are heart-shaped. She is smiling
54,087158.jpg,"An Asian person with short, dark-brown hair, a flat, wide nose, prominent cheeks and a smile."
55,087158.jpg,A Korean-looking woman with short hair combed backwards. Her eyes are small and her nose is a little wide. Her lips are thin and they are slightly parted. Her upper teeth are visible.
56,045150.jpg,"A young male face with dense brown hair, blue eyes and a happy smiling expression."
57,168292.jpg,"A man with short brown hair, light coloured expressive eyes and a pair of straight lips. He seems to have a sad look."
58,041279.jpg,"A woman with pale skin and heavy makeup, in particular, green lipstick and eyeshadow. She is pouting and has long black hair."
59,041279.jpg,A young woman with heavy make-up. Her hair is dark and straight. Her eyes are dark and there is a lot of dark make-up around them. Her lips are painted in a dark lipstick. She looks scary
60,054267.jpg,"A man with short, receding, curly, brown hair and a trimmed, salt-and-pepper beard. He has a wide nose and crow's feet."
61,054267.jpg,"A middle-aged man with dark coloured curly hair and small brown eyes. His eyebrows are bushy. His lips are somewhat thick and a thick stubble beard is growing around them. Although it is mostly black, there are some white patches"
62,195217.jpg,"An old man with white, receding hair, a large nose, large ears, pale skin with reddish tones and a round, wrinkly face."
63,034627.jpg,"A black man with shaved hair, thick eyebrows, a flattish nose, full lips and a smile. He has prominent cheekbones, some light facial hair and earrings."
64,005533.jpg,"A pale woman with long, brunette hair and and a huge smile. She is wearing light makeup and has thick eyebrows."
65,007090.jpg,"A woman with long ginger hair, dark eyes and a small nose. She has very full lips."
66,007090.jpg,A young Chinese-looking girl with brown hair and small eyes with dark make-up around them. Her lips are heart-shaped and her front teeth are visible.
67,100899.jpg,"A woman with long, brown hair and heavy makeup. She has sharp features, with a small nose and hollow cheeks."
68,100899.jpg,A middle-aged woman with dark hair and a fringe and big blue eyes with dark make-up around them. Her nose is small and she has got a heavy lower lip
69,103402.jpg,"A man with short, dark-brown, receding hair, a large nose, thin lips, a cleft chin and a long, plump face."
70,128450.jpg,"A pale, gaunt man with short, light-brown hair, thick eyebrows, a chin beard and a moustache. He has protruding ears and he is squinting his eyes."
71,159428.jpg,"A pale woman with long, blond hair, dark eyebrows, dark eyes, a wide nose and a toothy grin."
72,058192.jpg,"A woman with a long face, a very thin, short nose, thin lips and deep set eyes. She has long caramel-blonde wavy hair."
73,058192.jpg,A young woman with wavy brown hair and small brown eyes surrounded with black make-up. Her nose is small and her lips are thin. Her upper teeth are visible as she is smiling. She is wearing a pair of hoop earrings
74,151073.jpg,"A dark-skinned older man with a double chin and a wide nose. He has full lips and receding, greying hair."
75,034993.jpg,"An old man with wavy, grey hair underneath a hat. He has a large, slightly crooked nose and thin lips. His face is squarish and wrinkly."
